Liga,Verein,Teamname,Adresse
,ASV Köln e.V.,ASV Köln,"Olympiaweg 3, 50933 Köln"
,Berlin Rockets e. V.,Berlin Rockets,Paradestraße 20  12101 Berlin
,Blau-Weiß 96 Schenefeld e. V.,Blau-Weiß 96 Schenefeld,Achter de Weiden 91   22869 Schenefeld
,BSV Roxel e. V.,BSV Roxel,Tilbecker Str. 34   48161 Münster
,Dümptener Füchse 96 e. V.,Dümptener Füchse,Hustadtweg 43a   45475 Mülheim an der Ruhr
,Eimsbütteler Turnverband e. V.,ETV Hamburg,Bundesstraße 96   20144 Hamburg
,Eisbären Juniors Berlin e. V.,Eisbären Juniors Berlin,Weißenseer Weg 53   13053 Berlin
,ESV Ingolstadt-Ringsee e. V.,ESV Ingolstadt-Ringsee,Geisenfelder Straße 1   85053 Ingolstadt
,FC Rennsteig Avalanche e. V.,FC Rennsteig Avalanche,Eisfelder Straße 19   98724 Neuhaus am Rennweg
,Floor Fighters Chemnitz e. V.,Floor Fighters Chemnitz,Schloßstraße 13-15   09111 Chemnitz
,Floorball-Club München e. V.,FBC München,Selma-Lagerlöf-Str. 40   81829 München
,Hannoverscher Sportverein von 1896 e. V.,Hannover 96,Stadionbrücke 9   30459 Hannover
,Kieler Floorball Klub,Baltic Storms,Norwegenkai 1   24143 Kiel
,PSV 90 Dessau-Anhalt e. V.,PSV 90 Dessau-Anhalt,Heidestraße 137   06842 Dessau
,SC DHfK Leipzig e. V.,SC DHfK Leipzig,Am Sportforum 10   04105 Leipzig
,SC Potsdam e. V.,SC Potsdam,Maimi-von-Mirbach-Str. 11/13   14480 Potsdam
,SSC Leipzig e. V.,MFBC Leipzig,Theresienstraße 37   04129 Leipzig
,SSF Bonn 1905 e. V.,SSF Dragons Bonn,Kölnstr. 313a  53117 Bonn
,SV DJK Holzbüttgen 1961 e. V.,DJK Holzbüttgen,Bruchweg 11  41564 Kaarst
,TSG GutsMuths 1860 Quedlinburg e. V.,TSG Quedlinburg,Turnstraße 12  06484 Quedlinburg
,TSV 1919 Ebersgöns e. V.,TSV Ebersgöns,Auf der Heide 12   35510 Butzbach
,TSV Berkersheim 1910 e. V.,TSV Berkersheim,Schwanheimer Straße 119   60528 Frankfurt am Main
,Turnverein Eiche Horn von 1899 e. V.,TV Eiche Horn,Berckstraße 87   28359 Bremen
,TV 1883 Schriesheim e. V.,TV Schriesheim,Steinachstraße 3   69198 Schriesheim
,TV Lilienthal von 1862 e. V.,Lilienthaler Wölfe,Konventshof 1   28865 Lilienthal
,UHC Döbeln 06 e. V.,UHC Döbeln,Westfälische Str. 28   04720 Döbeln
,UHC Sparkasse Weißenfels e. V.,UHC Sparkasse Weißenfels,Beuditzstraße 50   06667 Weißenfels
,Unihockey Igels Dresden e. V.,Unihockey Igels Dresden,Postfach 120024   01001 Dresden
,Universitätssportverein Halle e.V.,USV Halle Saalebiber,Dessauer-Str. 20   06118 Halle
,VfL Kaufering e. V.,VfL Red Hocks Kaufering,Bayernstr. 17   86916 Kaufering
,Wernigeröder SV Rot-Weiß e. V.,Red Devils Wernigerode,Gießerweg 6   38855 Wernigerode
